id.presentacion;grupo;producto;marca;especificacion;N;Min;Pmin;Pmediano;PPdM;Pmax;Max;ee;iqr;PPdM_Ant;Var.Mens;C.V.
353;Cuidado personal;Protector solar SPF 40;Dermaglós;250 ml.;229;630;630;1562;1535,934;1649;1649;193,197221;0;1507,745;0,019;0,1258
354;Cuidado personal;Protector solar SPF 30;Hawaiian Tropic;180 ml.;262;893;951,3;1055;1077,671;1296;1361;61,2089307;52;1077,671;0;0,0568
355;Cuidado personal;Protector solar SPF 50;Eucerin;150 ml;38;1263;1263;2342,5;2105,423;2580;2580;547,8004935;1094;2166,8;-0,028;0,2602
356;Cuidado personal;Protector solar SPF 60;Soundown;120 ml.;467;459;559,3;804;786,023;1083,962;1083,962;94,98863307;45;788,423;-0,003;0,1208
357;Cuidado personal;Protector solar SPF 80;Hawaiian Tropic;240 ml.;394;844;844;1055;1064,16;1295;1295;56,85346204;51;1063,326;0,001;0,0534
358;Alimentos y bebidas;Harina trigo común 0000;Tata;Paquete 1 kg.;86;30;59;69;66,641;69;69;4,620193539;0;57,299;0,163;0,0693
359;Alimentos y bebidas;Aceite de girasol;Tata;Envase 900 cc;86;95;95;95;95;95;95;0;0;97,615;-0,027;0
360;Alimentos y bebidas;Harina trigo común 0000;Precio Líder;Paquete 1 kg.;90;40;40;59;52,801;59;59;7,864109298;14;56,215;-0,061;0,1489
361;Alimentos y bebidas;Aceite de girasol;Precio Líder;Envase 900 cc;90;80;80;99;96,185;99;99;6,751078064;0;99;-0,028;0,0702
363;Alimentos y bebidas;Harina trigo común 0000;Granja La Sonrisa;Paquete 1 kg.;67;47;47;47;48,128;53;53;1,509262309;2,9;48,128;0;0,0314
364;Alimentos y bebidas;Harina trigo común 0000;Tienda Inglesa;Paquete 1 kg.;19;49;49;59;56,19;67;67;6,319167206;10;68,417;-0,179;0,1125
365;Alimentos y bebidas;Aceite de girasol;Tienda Inglesa;Envase 900 cc;19;89;89;103;98,408;110;110;7,961594116;14;102,085;-0,036;0,0809
366;Alimentos y bebidas;Agua de mesa sin gas;Salus;Envase 2,25lt.;562;63;64;74;75,271;80;80;3,76564104;6;75,43;-0,002;0,05
367;Alimentos y bebidas;Agua de mesa sin gas;Matutina;Envase 2,5lt.;404;46;50;59;59,072;70;74;2,989463892;3;58,908;0,003;0,0506
368;Alimentos y bebidas;Agua de mesa sin gas;Vitale;Envase 2,5lt.;380;44,9;49;59;60,693;65;96;4,135273638;6;62,628;-0,031;0,0681
369;Alimentos y bebidas;Agua mineral sin gas;Salus;Envase 6,25lt.;553;109;116;137;139,072;147;147;6,400700467;10;139,14;0;0,046
370;Alimentos y bebidas;Agua mineral sin gas;Nativa;Envase 6lt.;358;108;108;130;127,923;135;142;4,886706552;1;127,902;0;0,0382
380;Alimentos y bebidas;Margarina;Adorita;Envase 250 grs.;372;35;37;57;56,407;66;69;4,709410937;4;56,247;0,003;0,0835
381;Alimentos y bebidas;Margarina;Qualy;Envase 250 grs.;298;32;35;58;59,675;70;76;7,471609255;11;59,859;-0,003;0,1252
