id.presentacion;Producto;Marca;Especificacion;N;Min;Pmin;Pmediano;PPdM;Pmax;Max;ee;iqr;PPdM.Ant;Var.mens;C.V.;;
80;Helado familiar;Crufi;Envase 1lt.;278;219;219;279;267,28;328;331;27,48717684;48;268,00;-0,0027;0,102842043;;
82;Hipoclorito de sodio;Agua Jane;Botella 1 lt.;563;64,9;68;81;83,58;110;112;8,900177516;9;84,28;-0,00834;0,106490479;;
83;Hipoclorito de sodio;Sello Rojo;Botella 1 lt.;561;63;64;79;76,37;100;101;7,985105525;13;75,16;0,01606;0,104562176;;
84;Hipoclorito de sodio;Solución Cristal;Botella 1 lt.;420;49;49,9;73;69,69;83;84;7,687022937;4;68,78;0,01323;0,110303242;;
85;Huevos colorados;El Jefe;Envase 1/2 docena;102;95;95;113;113,23;131;138;6,316135971;3;113,19;0,00038;0,055779826;;
86;Huevos colorados;Prodhin;Envase 1/2 docena;283;105;110;121;121,09;135;142;3,536521151;5;119,07;0,01696;0,029206006;;
87;Huevos colorados;Super huevo;Envase 1/2 docena;278;93;97;113;110,37;129;129;6,480302738;10;109,99;0,00344;0,058715448;;
339;Jabón de glicerina;Ann Bow;140 grs.;224;60;64,9;80;79,97;99;103;9,505844231;13,1;80,56;-0,00737;0,118873657;;
88;Jabón de tocador;Astral plata;Unidad 125 grs.;636;40;44;57;62,86;89;90;11,83970983;20;69,17;-0,09127;0,18835815;;
89;Jabón de tocador;Palmolive;Unidad 125 grs.;244;29;29;39;39,60;56;56;9,024616488;20,1;39,63;-0,00066;0,227869107;;
90;Jabón de tocador;Rexona;Unidad 125 grs.;353;41;42;65,09;61,89;75;78;8,868512965;11,25;61,93;-0,00061;0,143290185;;
324;Jabón de tocador;Neutrogena;80 grs.;279;110;120;150;148,21;168,42;168,42;8,095281599;1;148,22;-0,00005;0,054619271;;
338;Jabón de tocador;Dove;90 grs.;634;55;58;76;76,25;95;98;7,133232465;4;76,94;-0,00893;0,093547076;;
91;Jabón en polvo máquina;Drive;Paquete 800 grs.;113;128,9;129;149;150,44;178,53;178,53;13,66859252;21;150,30;0,0009;0,090859816;;
92;Jabón en polvo máquina;Nevex;Paquete 800 grs.;566;155;155;192;191,45;229,57;239;17,84376008;29;191,43;0,0001;0,093203683;;
93;Jabón en polvo máquina;Skip - Paquete azul;Paquete 800 grs.;515;127,2;129;151;150,19;175,51;191;9,372768199;16;150,46;-0,00183;0,062408353;;
94;Jabón para ropa en barra;Bull Dog;Unidad 300 grs.;322;43;43;82;73,90;98;105;16,09117149;15,275;73,88;0,00027;0,217742799;;
95;Jabón para ropa en barra;Nevex;Unidad 200 grs.;382;35;37;55;54,62;66,08;67;5,378281627;3;55,02;-0,00729;0,09846823;;
96;Jabón para ropa en barra;Primor;Unidad 200 grs.;491;32;33;36;36,96;47;49;4,48261147;10;37,08;-0,00313;0,121269025;;
97;Jamón cocido no artesanal;Cattivelli;1 kg.;30;527;527;660;656,72;890;890;61,61514056;28;659,44;-0,00412;0,093822111;;
98;Jamón cocido no artesanal;Ottonello;1 kg.;218;540;540;647;640,04;720;790;25,52426575;10;609,36;0,05034;0,039879481;;
238;Lechuga Crespa;NA;1 unidad;134;46,9;49;76;76,66;99;115;8,065577286;3,9;75,93;0,00956;0,105217934;;
239;Lechuga Mantecosa;NA;1 unidad;54;46;46,9;83;80,58;105;110;15,00674545;20;72,67;0,10888;0,186229185;;
99;Leonesa;La Constancia;1 kg.;22;400;400;400;430,00;430;430;6,253553255;0;430,00;0;0,014543147;;
100;Leonesa;Ottonello;1 kg.;82;411;415;460;442,80;540;720;23,23161109;0;442,80;0;0,052465246;;
101;Leonesa;Schneck;1 kg.;235;450;450;560;538,32;620;640;49,64375956;70;544,15;-0,01072;0,092220517;;
102;Manteca;Calcar;Envase 200 grs.;19;61;61;68;66,78;69,9;69,9;2,821237036;5;66,78;-0,00001;0,042247402;;
103;Manteca;Conaprole sin sal;Envase 200 grs.;441;87;89;101;104,75;115;117;8,114015421;16;103,95;0,00772;0,077458187;;
104;Manteca;Kasdorf;Envase 200 grs.;271;85;88;97;98,19;108;108;5,083337977;5;98,05;0;0,05176944;;
275;Manzana Fuji;NA;1 kg.;106;125;129;145;146,27;156;185;5,09522101;4;149,88;-0,02406;0,034833501;;
276;Manzana Granny Smith;NA;1 kg.;133;99;99;159;153,53;191;195;19,7336283;9,1;155,50;-0,01265;0,128530466;;
277;Manzana Red Deliciosa;NA;1 kg.;220;87;89;139;141,63;189;199;14,52087279;4;142,68;-0,00737;0,102528392;;
105;Margarina;Doriana nueva;Envase 250 grs.;111;71;75;89;85,99;120;120;16,80082967;30;85,99;0,00001;0,195378457;;
109;Mayonesa común;Hellmans;Envase 500 grs.;403;116;116;184;174,61;198;226;17,80650108;16;168,29;0,03757;0,10197669;;
110;Mayonesa común;Uruguay;Envase 500 grs.;344;65;69;93;87,09;113;121;13,0712321;24,5;87,10;-0,00017;0,150098131;;
112;Mermelada de durazno;El Hogar;Envase 500 grs.;131;69;69;89;88,05;149;149;17,37936975;17,1;87,94;0,00121;0,197389669;;
113;Mermelada de durazno;Los Nietitos;Envase 500 grs.;346;84,7;99;119,9;119,04;139;148;7,951264229;4;119,12;-0,00071;0,06679733;;
114;Nalga vacuna;Con Hueso - Sin Marca;1 kg.;56;259;259;259;386,71;449;469;68,23959981;131;384,05;0,00692;0,176463504;;
115;Nalga vacuna;Sin Hueso - Sin Marca;1 kg.;129;288;289;370;371,40;515;519;57,9742344;87;380,66;0;0,156097719;;
286;Naranja Navel;NA;1 kg.;108;42;42;85;49,66;99;99;17,38585391;37;62,07;-0,19992;0,350093086;;
116;Paleta vacuna;Con Hueso - Sin Marca;1 kg.;153;229;239;319;318,82;379;379;22,93114227;14;312,48;0,0203;0,071924433;;
117;Paleta vacuna;Sin Hueso - Sin Marca;1 kg.;144;259;259;269;292,87;410;415;42,61200771;49;295,40;-0,00856;0,145497565;;
118;Pan de molde lacteado;Los Sorchantes;Paquete 330 grs.;363;93;99;116;116,43;144;146;8,856462486;10,9;116,81;-0,00326;0,076067449;;
119;Pan de molde lacteado;Bimbo;Paquete 330 grs.;91;95;95;123;126,90;172;181;14,27441667;15;129,80;-0,02232;0,112482704;;
120;Pan de molde lacteado;Pan Catalán;Paquete 330 grs.;60;70;70;76;77,42;87;95;3,51470143;0;77,30;0,00153;0,045399163;;
121;Pan flauta;Sin marca;Unidad aprox215 grs.;107;45;45;83;77,87;93;93;12,11753041;0;77,87;0;0,155613055;;
327;Pañales;Babysec;48 unidades;541;789;869;1079;1057,36;1184,51;1267;70,53176282;62;1061,84;-0,00422;0,066705605;;
