id.presentacion;Producto;Marca;Especificacion;N;Min;Pmin;Pmediano;PPdM;Pmax;Max;ee;iqr;PPdM.Ant;Var.mens;C.V.
77;Harina trigo común 0000;Cololó;Paquete 1 kg.;259;45;45;56;56,32;75;77;7,512327749;10,9;65,31;-0,137569;0,13337547
78;Harina trigo común 0000;Primor;Paquete 1 kg.;163;45;46;56;55,95;66;69;4,71103803;8;56,29;-0,005944;0,084198455
358;Harina trigo común 0000;Tata;Paquete 1 kg.;13;55;55;55;55,00;55;55;0;0;55,00;0;0
360;Harina trigo común 0000;Precio Líder;Paquete 1 kg.;83;45;45;45;50,31;59;59;6,793701932;14;57,69;-0,128033;0,135044249
363;Harina trigo común 0000;Granja La Sonrisa;Paquete 1 kg.;64;53;53;54,9;54,21;59,9;59,9;1,429854974;1,9;53,89;0,006049;0,026375681
364;Harina trigo común 0000;Tienda Inglesa;Paquete 1 kg.;19;59;59;61;63,74;73;73;4,4911548;7;65,74;-0,030424;0,07046597
79;Helado familiar;Conaprole;Envase 1lt.;354;224;224;279;275,01;310;314;14,78159395;11;277,69;-0,009653;0,053750026
80;Helado familiar;Crufi;Envase 1lt.;201;216;219;265;267,84;328;331;28,13625011;46,96;262,40;0,02072;0,105048223
82;Hipoclorito de sodio;Agua Jane;Botella 1 lt.;488;65;69;81;84,31;112;112;8,266158947;8;82,68;0,01967;0,098044566
83;Hipoclorito de sodio;Sello Rojo;Botella 1 lt.;483;59;63;70;75,12;100;101;8,440952314;14;75,40;-0,003786;0,112372161
84;Hipoclorito de sodio;Solución Cristal;Botella 1 lt.;346;46,9;49;73;68,77;83;84;9,357223913;13;68,05;0,010467;0,1360736
85;Huevos colorados;El Jefe;Envase 1/2 docena;102;95;95;113;113,57;131;138;6,338911346;3;110,17;0,030821;0,055815661
86;Huevos colorados;Prodhin;Envase 1/2 docena;197;105;109;118;119,00;135;142;4,36159845;3;110,99;0,072149;0,036651365
87;Huevos colorados;Super huevo;Envase 1/2 docena;204;91;91;112;109,71;129;129;6,512384961;8;106,35;0,031594;0,059361229
339;Jabón de glicerina;Ann Bow;140 grs.;220;64,9;67;80;80,61;99;103;8,804921858;13,1;80,45;0,002001;0,109233963
88;Jabón de tocador;Astral plata;Unidad 125 grs.;555;41;44;72;69,20;89;90;9,563329819;11;69,17;0,000457;0,138198643
89;Jabón de tocador;Palmolive;Unidad 125 grs.;197;29;29;37,806;39,69;56;56;9,980881592;20,1;39,69;-0,000004;0,251440561
90;Jabón de tocador;Rexona;Unidad 125 grs.;269;41;42;64,5;61,90;75;78;7,650104295;9,9;59,97;0,032169;0,123591728
324;Jabón de tocador;Neutrogena;80 grs.;273;110;120;150;148,22;168,42;168,42;8,125993275;1;148,27;-0,000312;0,054823261
338;Jabón de tocador;Dove;90 grs.;551;55;58;76;76,99;95;98;6,882417866;4;75,87;0,015;0,08939893
91;Jabón en polvo máquina;Drive;Paquete 800 grs.;114;128,9;129;149;150,26;178,53;178,53;13,61920498;21;150,26;0,000008;0,09063662
92;Jabón en polvo máquina;Nevex;Paquete 800 grs.;481;149;159;195;191,56;229,57;239;15,45783047;25;190,71;0,004481;0,080693013
93;Jabón en polvo máquina;Skip - Paquete azul;Paquete 800 grs.;448;135;139;151;150,45;183;191;9,103308268;14;150,39;0,000423;0,060506819
94;Jabón para ropa en barra;Bull Dog;Unidad 300 grs.;320;43;43;82;73,91;98;105;15,65665342;13;73,80;0,001494;0,211846574
95;Jabón para ropa en barra;Nevex;Unidad 200 grs.;304;35;35;54,9;55,05;66,08;67;4,106556079;3;54,92;0,002379;0,074592166
96;Jabón para ropa en barra;Primor;Unidad 200 grs.;330;31,9;33;35;36,89;49;49;3,146233295;4;36,85;0,001;0,085292638
97;Jamón cocido no artesanal;Cattivelli;1 kg.;30;550;550;660;656,39;890;890;63,17264193;28;625,43;0,049504;0,096242705
98;Jamón cocido no artesanal;Ottonello;1 kg.;135;570;570;570;609,29;790;790;53,53963083;80;642,32;-0,051423;0,087872114
238;Lechuga Crespa;NA;1 unidad;138;41;42;76;75,69;105;105;12,33785588;10;62,28;0,215279;0,163002988
239;Lechuga Mantecosa;NA;1 unidad;58;38;38;69;71,19;105;105;19,16026551;25,1;61,27;0,161898;0,269152718
101;Leonesa;Schneck;1 kg.;145;450;450;550;544,33;610;670;29,10825132;20;535,33;0,016809;0,05347549
102;Manteca;Calcar;Envase 200 grs.;20;61;61;68;67,59;69,9;83;2,875809821;5;67,59;0;0,042547859
103;Manteca;Conaprole sin sal;Envase 200 grs.;441;75;87;101,22;103,97;115;115;8,537548007;18;103,82;0,001477;0,082113996
104;Manteca;Kasdorf;Envase 200 grs.;220;81;82;97;98,05;108;108;4,822924118;3;97,79;0,002568;0,049190712
275;Manzana Fuji;NA;1 kg.;106;119;129;145;168,55;185;185;13,57415763;5;169,59;-0,006144;0,080537073
276;Manzana Granny Smith;NA;1 kg.;50;91;99;150;154,78;191;195;21,68431597;19,1;179,29;-0,1367;0,140093463
277;Manzana Red Deliciosa;NA;1 kg.;136;89;89;139;144,60;199;199;18,59716739;5;152,03;-0,048822;0,128606698
105;Margarina;Doriana nueva;Envase 250 grs.;94;70;71;82;85,97;120;120;12,26502897;18;85,97;0;0,14266603
109;Mayonesa común;Hellmans;Envase 500 grs.;337;99;99;175;168,28;198;227;24,55828349;30;148,62;0;0,145934738
110;Mayonesa común;Uruguay;Envase 500 grs.;252;69;69;88;87,11;114;121;12,73868578;21,1;86,02;0,012628;0,146234938
112;Mermelada de durazno;El Hogar;Envase 500 grs.;129;69;69;89;87,94;149;149;17,91437901;21;87,94;0;0,203699891
113;Mermelada de durazno;Los Nietitos;Envase 500 grs.;270;98;98;119,9;119,08;146;148;8,678455092;5;120,35;-0,010537;0,072877728
114;Nalga vacuna;Con Hueso - Sin Marca;1 kg.;27;299;299;404;383,47;469;469;44,52001126;46;378,23;0,013855;0,116097342
115;Nalga vacuna;Sin Hueso - Sin Marca;1 kg.;130;289;289;371;374,03;515;519;49,11768004;48;342,49;0,092106;0,131320169
286;Naranja Navel;NA;1 kg.;25;42;42;59,91;63,18;88;95;11,2992915;6;91,67;-0,310734;0,178831714
287;Naranja Valencia;NA;1 kg.;96;44;44;94;92,99;120;125;16,92073482;8;98,38;-0,054774;0,181958145
116;Paleta vacuna;Con Hueso - Sin Marca;1 kg.;151;219;239;315;312,34;369;373;25,9271459;30;293,25;0,065088;0,083010641
117;Paleta vacuna;Sin Hueso - Sin Marca;1 kg.;144;239;259;289;295,13;410;410;39,65743397;40;279,47;0;0,134374633
