id.presentacion;producto;marca;especificacion;n;min;pmin;median;mean;pmax;max;ee;iqr;ppdm.anterior;var.mens;c.v.
1;Aceite de girasol;Óptimo;Envase 900 cc;425;79,9;83;119;110,92;133;149;13,91651372;23;111,90;-0,88%;12,55%
2;Aceite de girasol;Río de la Plata;Envase 900 cc;404;79;79;112;111,72;145;150;10,41004185;6;109,39;2,13%;9,32%
3;Aceite de girasol;Uruguay;Envase 900 cc;209;74;75;87,43;88,60;123;130;11,03039071;14;87,14;1,67%;12,45%
359;Aceite de girasol;Tata;Envase 900 cc;86;99;99;99;99,08;105;105;0,743645082;0;97,37;1,76%;0,75%
361;Aceite de girasol;Precio Líder;Envase 900 cc;83;89;89;89;89,00;89;89;0;0;89,00;0,00%;0,00%
365;Aceite de girasol;Tienda Inglesa;Envase 900 cc;18;115;115;121;125,86;155;155;10,69848096;5;122,37;2,85%;8,50%
4;Aceite de maíz;Delicia;Envase 900 cc;373;95;95;129;122,96;160;167;16,29960492;30;122,44;0,42%;13,26%
5;Aceite de maíz;Río de la Plata;Envase 900 cc;392;99;130;143;144,39;171;172;7,940271656;10;144,30;0,06%;5,50%
7;Aceite de soja;Condesa;Envase 900 cc;362;54,9;55;75;69,89;97;102;8,962200842;16;70,75;-1,21%;12,82%
8;Aceite de soja;Río de la Plata;Envase 900 cc;388;55;55;69;67,08;99;105;10,14520535;15;66,52;0,84%;15,12%
9;Aceite de soja;Salad;Envase 900 cc;93;53;57,8;75;75,36;86,04;86,04;4,918054785;0;74,06;1,76%;6,53%
318;Afeitadora;Gillette;2 unidades;429;311,1;388;522;521,66;596;599;52,33562798;49,28;522,73;-0,20%;10,03%
319;Afeitadora;Xtreme3;1 unidad;450;70;70;103;120,58;162;162;28,19824852;28;120,57;0,01%;23,38%
10;Agua de mesa con gas;Matutina;Envase 2,5 lt.;418;43;43;54;54,33;63;65;2,804664441;2;54,54;-0,38%;5,16%
11;Agua de mesa con gas;Nativa;Envase 2,5 lt.;347;48;49;68;65,29;80;80;6,202185776;12;65,02;0,42%;9,50%
12;Agua de mesa con gas;Salus;Envase 2,25 lt.;518;55;55,16;69;70,25;75;81;3,056643028;0;69,54;1,02%;4,35%
366;Agua de mesa sin gas;Salus;Envase 2,25lt.;506;50;50;69;70,10;75;81;3,699994412;0;69,42;0,99%;5,28%
367;Agua de mesa sin gas;Matutina;Envase 2,5lt.;359;43;43;54;54,12;64;65;2,541483684;0;54,30;-0,33%;4,70%
368;Agua de mesa sin gas;Vitale;Envase 2,5lt.;343;49;51,9;65;62,43;73;80;3,895965624;6;62,52;-0,15%;6,24%
369;Agua mineral sin gas;Salus;Envase 6,25lt.;349;103;103;129;127,72;136;143;4,976962648;0;126,81;0,72%;3,90%
370;Agua mineral sin gas;Nativa;Envase 6lt.;338;99;99;125;122,44;130;135;5,879505239;5;122,52;-0,06%;4,80%
13;Aguja vacuna;Con Hueso - Sin Marca;1 kg.;152;229;239;252;261,31;355;365;25,31902255;24;258,73;1,00%;9,69%
14;Aguja vacuna;Sin Hueso - Sin Marca;1 kg.;144;229;238;273;284,66;395;409;29,22789334;24;279,39;1,89%;10,27%
347;Alcohol en gel;Bioset;250 ml.;97;93;93;142;135,91;159;159;12,5742984;13;135,91;0,00%;9,25%
346;Alcohol rectificado;Droguería Paysandú;250 ml.;18;77;77;80;81,87;92;92;3,868318301;2;81,87;0,00%;4,73%
348;Algodón;Zig Zag Cisne;100 gramos;550;92;97;115;132,42;187;187;30,4857396;54;132,57;-0,11%;23,02%
15;Arroz blanco;Blue Patna;Bolsa 1 kg.;363;51,9;53,9;75;72,57;85;85;7,856719195;12;70,59;2,81%;10,83%
16;Arroz blanco;Green Chef;Bolsa 1 kg.;357;49;52;62;63,01;85;85;7,439931556;2;61,92;1,76%;11,81%
17;Arroz blanco;Saman Blanco;Bolsa 1 kg.;417;52,9;53,9;75;71,12;79,5;80;6,558767082;10;69,91;1,73%;9,22%
18;Arroz blanco;Aruba tipo Patna;Bolsa 1 kg.;236;30;30;42;41,17;68;76;8,419478295;4;40,97;0,48%;20,45%
19;Arroz blanco;Pony;Bolsa 1 kg.;40;31;31;39;40,83;59;59;6,348376818;1;40,83;0,00%;15,55%
20;Arroz blanco;Vidarroz;Bolsa 1 kg.;227;33;39;42;43,16;49;49;3,771752609;6,9;39,57;9,09%;8,74%
