id.presentacion;producto;marca;especificacion;n;min;pmin;median;mean;pmax;max;ee;iqr;ppdm.anterior;var.mens;c.v.
1;Aceite de girasol;Óptimo;Envase 900 cc;366;101;103;118;118,4864562;135;160;6,429602534;6,5;118,5907178;-0,000879;0,054264451
2;Aceite de girasol;Río de la Plata;Envase 900 cc;349;105;108,9;139,9;137,8304646;166;173;11,06070749;14;137,8410194;-7,70E-05;0,080248641
3;Aceite de girasol;Uruguay;Envase 900 cc;231;99;99;105;108,0303432;125,24;146;5,979009479;8,16;108,383263;-0,003256;0,055345649
4;Aceite de maíz;Delicia;Envase 900 cc;321;109;114,9;129;129,4948976;161;168;8,633491647;9;129,4161253;0,000609;0,066670516
5;Aceite de maíz;Río de la Plata;Envase 900 cc;364;105;133;148;146,3144628;165;183;7,137870534;10;146,3057544;6,00E-05;0,04878445
7;Aceite de soja;Condesa;Envase 900 cc;243;78,9;84,9;88;90,31119636;102;106;3,939848323;4;90,09823735;0,002364;0,043625248
8;Aceite de soja;Río de la Plata;Envase 900 cc;358;69;76;89,5;91,80433374;119;125;7,709610528;3;91,77783574;0,000289;0,083978721
9;Aceite de soja;Salad;Envase 900 cc;109;76;76;89;87,91005585;94,28;105;3,526623025;0;87,38493672;0,006009;0,040116264
10;Agua de mesa con gas;Matutina;Envase 2 lt.;296;39;40;48;47,87204633;57;57;2,282342616;2,01;47,69918701;0,003624;0,047675894
11;Agua de mesa con gas;Nativa;Envase 2 lt.;224;48,8;51;59;59,10225225;68;68;2,092893095;1;59,19010825;-0,001484;0,035411393
12;Agua de mesa con gas;Salus;Envase 2,25 lt.;461;50;54;61;62,27955377;68;70;2,804050505;5;61,82810579;0,007302;0,045023613
13;Aguja vacuna;Con Hueso - Sin Marca;1 kg.;211;249;259;319;325,8771213;399;421;26,11528677;40;312,8713601;0,041569;0,080138448
14;Aguja vacuna;Sin Hueso - Sin Marca;1 kg.;210;249;270,27;356;359,8024948;440;466;33,11743565;44;343,3832053;0,047816;0,092043374
15;Arroz blanco;Blue Patna;Bolsa 1 kg.;329;41,9;46,9;63;61,10583765;76;81;6,400038721;10;62,30991284;-0,019324;0,104736944
16;Arroz blanco;Green Chef;Bolsa 1 kg.;329;39;41,9;53;53,27091857;61;66;4,095337361;4;53,32034499;-0,000927;0,076877544
17;Arroz blanco;Saman Blanco;Bolsa 1 kg.;388;45;48;59;58,17462938;66;74;4,772139856;7;59,03666503;-0,014602;0,082031289
18;Arroz blanco;Aruba tipo Patna;Bolsa 1 kg.;218;29;29;35;36,10822913;54;62;5,069766226;6;36,52415415;-0,011388;0,140404732
19;Arroz blanco;Pony;Bolsa 1 kg.;25;29;29;39;39,36;59;59;7,059163843;8;39,36;0;0,179348675
20;Arroz blanco;Vidarroz;Bolsa 1 kg.;221;29;32;36;36,25339367;45;48;3,108921164;4;38,17760181;-0,050401;0,085755314
22;Arvejas en conserva;Cololó;Lata 380 grs.;306;24;24;40;41,04573296;53,36;53,36;4,954276681;7,1;39,6958454;0,034006;0,120701382
23;Arvejas en conserva;Nidemar;Lata 300 grs.;166;19;19;25;26,71771084;32;32;2,812871521;4;26,29200789;0,016191;0,105281157
24;Azúcar blanco;Azucarlito;Paquete 1 kg.;202;41;45;51;51,21198727;60;61;2,419711418;2;50,42694868;0,015568;0,047248926
25;Azúcar blanco;Bella Unión;Paquete 1 kg.;339;39;39;51;50,2762039;54;60;2,277716596;1,1;49,45777043;0,016548;0,045304069
26;Café envasado (no instantáneo);Águila;Paquete 250 grs.;300;129;133;196;190,9233516;228;241;24,41269246;49;186,1184904;0,025816;0,127866457
27;Café envasado (no instantáneo);Chaná;Paquete 250 grs.;389;129;141,1;229;222,3904554;263;275;28,05712354;37;217,9521009;0,020364;0,126161545
28;Café envasado (no instantáneo);Saint;Paquete 250 grs.;136;108;109;132,5;134,5756828;156;173;11,14655418;11,5;135,0257116;-0,003333;0,082827402
29;Carne picada vacuna;Con Hasta 5% de grasa;1 kg.;218;299;299;389;365,0903885;469;492;48,29195468;102;360,4515601;0,012869;0,132273969
30;Carne picada vacuna;Con Hasta 20% de grasa;1 kg.;208;221;229;295;311,0489889;369;395;35,38535136;70;308,4813043;0,008324;0,113761345
31;Cerveza;Patricia;Botella 960 ml.;384;103;106,02;140;136,7613671;152;169;10,20448476;3;136,7656595;-3,10E-05;0,074615259
32;Cerveza;Pilsen;Botella 960 ml.;251;99;101,2;125;123,0068819;137;153;7,374634682;1;123,2746022;-0,002172;0,059953025
33;Cerveza;Zillertal;Botella 1 lt.;355;120;136,4;155;152,4031924;177;178;8,184691106;5;152,5376783;-0,000882;0,053704197
34;Champú;Fructis;Envase 350 ml.;508;159;189,9;285;283,010772;329;432;31,96781635;22;284,9393032;-0,006768;0,112956182
35;Champú;Sedal;Envase 350 ml.;379;109;109;211;191,239101;235;282;39,55837824;48;212,219683;-0,098863;0,206852982
36;Champú;Suave;Envase 930 ml.;265;99;99;178;185,0141829;241;252;28,97346658;43,1;193,1500562;-0,042122;0,156601327
37;Chorizos mezcla;sueltos - Cattivelli  - Extra;1 kg.;223;390;409;510;501,4105532;530;562;26,6998679;11;493,4181561;0,016198;0,053249513
38;Chorizos mezcla;sueltos - Centenario - Extra;1 kg.;203;337;389;519;507,3176784;587;679;40,72432587;26;504,5096511;0,005566;0,080273816
39;Chorizos mezcla;sueltos - La Familia - Hilo amarillo;1 kg.;180;270;270;346;336,5975;365;365;19,7610375;27;336,5975;0;0,058708212
40;Cocoa;Copacabana;Envase 500 grs.;209;105;110;166;165,5054258;199,83;204;16,01511137;8;165,9816339;-0,002869;0,096764872
