id.presentacion;producto;marca;especificacion;n;min;pmin;median;mean;pmax;max;ee;iqr;ppdm.anterior;var.mens;c.v.
1;Aceite de girasol;Óptimo;Envase 900 cc;384;78,9;79;98;96,74567826;119;134;6,505310145;6,5;93,96366264;0,029607;0,067241351
2;Aceite de girasol;Río de la Plata;Envase 900 cc;350;60;62;109;103,3093186;120;125;10,95149417;10;102,3827706;0,00905;0,106006838
3;Aceite de girasol;Uruguay;Envase 900 cc;194;60;60;90,9;88,49555003;115;119;12,88791578;7,1;83,4483952;0,060482;0,14563349
4;Aceite de maíz;Delicia;Envase 900 cc;375;63,9;77;99,5;99,11579569;125;135;8,786310769;5;96,15738139;0,030766;0,088646928
5;Aceite de maíz;Río de la Plata;Envase 900 cc;379;69;79;129;121,0266548;139;149;14,34031875;17;117,2946486;0,031817;0,118488929
6;Aceite de maíz;Salad;Envase 900 cc;18;52;52;67,94;64,11107527;84,19;84,19;8,79140168;10,74;63,85666667;0,003984;0,137127659
7;Aceite de soja;Condesa;Envase 900 cc;263;45;56;69;69,4892828;82;95;4,953105431;5;66,6915023;0,041951;0,071278696
8;Aceite de soja;Río de la Plata;Envase 900 cc;378;49;49;72;70,3685151;86;95;6,424941094;5,1;67,57267391;0,041375;0,091304202
9;Aceite de soja;Salad;Envase 900 cc;115;39;39;67;63,38435783;69,5;69,51;8,429564123;9;60,83811148;0,041853;0,132991237
10;Agua de mesa con gas;Matutina;Envase 2 lt.;270;37;37,9;46;46,14319635;52;52;2,054517055;2;43,45410365;0,061884;0,04452481
11;Agua de mesa con gas;Nativa;Envase 2 lt.;208;44,9;48,8;57;57,7954416;66;73;2,687682364;2;57,65411706;0,002451;0,046503362
12;Agua de mesa con gas;Salus;Envase 2,25 lt.;457;49,9;52;60;61,04045267;65;66;2,738971991;3;59,65927083;0,023151;0,044871423
13;Aguja vacuna;Con Hueso - Sin Marca;1 kg.;230;209;215;259;255,8365264;320;360;26,14008304;50;244,6641258;0,045664;0,102174945
14;Aguja vacuna;Sin Hueso - Sin Marca;1 kg.;209;229;259;289;289,7313482;345;390;17,77079242;20;287,9622706;0,006143;0,061335415
