id.presentacion;grupo;producto;marca;especificacion;N;Min;Pmin;Pmediano;PPdM;Pmax;Max;ee;iqr;PPdM_Ant;Var.Mens;C.V.
60;AB;Frankfurters cortos;Schneck;Paquete 8 us.;439;185;200;239,00;240,881;265;300;15,30940693;16,0;235,3330;0,0236;0,0636
61;AB;Galletitas al agua;Famosa;Paquete 140 grs.;526;49;49;69,00;70,458;80;85;5,652008172;7,0;70,2730;0,0026;0,0802
62;AB;Galletitas al agua;Maestro Cubano;Paquete 120 grs.;92;40;40;41,00;40,925;47;47;1,376029139;1,0;40,9250;0;0,0336
63;AB;Gaseosa tipo cola (env. no ret.);Coca Cola;Botella 1,5 lt.;584;114;123;142,00;146,126;157;162;8,253085444;15,0;146,1970;-0,0005;0,0565
64;AB;Gaseosa tipo cola (env. no ret.);Coca Cola_;Botella 2,25.lt.;485;134;139;180,00;181,223;194;213;11,88157305;19,0;181,5200;-0,0016;0,0656
66;AB;Gaseosa tipo cola (env. no ret.);Pepsi;Botella 2 lt.;447;129,9;139;169,00;168,751;179;195;8,009480404;4,0;168,2420;0,003;0,0475
67;AB;Gaseosa tipo cola (env. no ret.);Pepsi;Botella 1,5 lt.;441;109;111;123,00;123,793;140;145;5,564945723;0,0;123,9050;-0,0009;0,045
68;AB;Hamburguesas carne vacun;Burgy;Paquete 3 unidades;287;28;28;35,00;35,657;41;43;2,945454628;5,0;36,0440;-0,0107;0,0826
69;AB;Hamburguesas carne vacun;Paty;Paquete2 unidades;155;52;52;72,00;76,063;98;114;16,12560431;33,9;75,1230;0,0125;0,212
70;AB;Hamburguesas carne vacun;Schneck;Paquete2 unidades;438;66;67;87,00;85,275;95;105;7,912580247;11,0;87,0350;-0,0202;0,0928
71;AB;Harina de maíz;Gourmet;Paquete 450 grs.;99;29;29;36,00;37,399;43;43;4,908060395;10,0;32,4820;0,1514;0,1312
72;AB;Harina de maíz;Presto Pronta Arcor;Paquete 500 grs.;353;38;40;54,00;55,196;63;87;4,076254417;2,0;54,5120;0,0125;0,0739
73;AB;Harina de maíz;Puritas;Paquete 450 grs.;430;30;33,9;42,00;40,611;59;59;4,002535418;5,0;40,7940;-0,0045;0,0986
74;AB;Harina trigo común 000;Cañuelas;Paquete 1 kg.;487;39;44;54,00;56,16;64;67;4,872222181;7,0;55,5480;0,011;0,0868
75;AB;Harina trigo común 000;Cololó;Paquete 1 kg.;139;43;44;49,90;48,15;62;62;3,842488942;4,9;48,1500;0;0,0798
76;AB;Harina trigo común 0000;Cañuelas;Paquete 1 kg.;516;49;49;63,00;60,807;72;75;4,874361105;5,0;60,6850;0,002;0,0802
77;AB;Harina trigo común 0000;Cololó;Paquete 1 kg.;360;45;45;64,90;61,384;75;76;8,640223341;12,0;62,2080;-0,0132;0,1408
