ï»¿id.presentacion;producto;marca;especificacion;n;min;pmin;median;mean;pmax;max;ee;iqr;ppdm.anterior;var.mens;c.v.
141;Sal fina yodada fluorada;Torrevieja;Paquete 500 grs.;53;17,9;17,9;36,5;35,16390922;39;39;3,380108883;0;35,16454874;-1,80E-05;0,096124377
142;Sal fina yodada fluorada;Urusal;Paquete 500 grs.;219;14,9;16,5;40;37,54546047;42;45;5,992593122;7;36,86345811;0,018501;0,159608993
143;TÃ© negro en saquitos;Hornimans;Caja 10 us.;395;24;28;36;36,47054529;42;42;4,04497202;8;36,34468882;0,003463;0,110910654
144;TÃ© negro en saquitos;La Virginia;Caja 10 us.;272;11,9;19,5;28;25,92791712;35,06;36,15;4,530303991;9;26,65062848;-0,027118;0,174726877
145;TÃ© negro en saquitos;President;Caja 10 us.;390;20;20;49;45,23357252;56;62;8,539944862;6,9;47,34155397;-0,044527;0,188796604
146;Vino tinto comÃºn tetrabrick;FaisÃ¡n;Envase 1 lt.;395;75;79;94;92,45840523;109;109;5,133012192;8;93,34400074;-0,009487;0,055516988
147;Vino tinto comÃºn tetrabrick;Santa Teresa ClÃ¡sico;Envase 1 lt.;306;77;82;92;93,35931867;108,9;120;4,951462036;5;93,49458354;-0,001447;0,053036613
148;Vino tinto comÃºn tetrabrick;Tango;Envase 1 lt.;182;58;71;89;90,71946554;103,5;108;7,736449926;4;90,47317148;0,002722;0,085278831
149;Yerba mate comÃºn;Baldo;Paquete1 kg.;407;141;157;158;159,3518537;182;182;3,497927464;2;158,8545894;0,00313;0,021950968
150;Yerba mate comÃºn;Canarias;Paquete1 kg.;436;148;155;160;165,0301161;203;203;12,5258229;2;163,9404838;0,006647;0,075900225
151;Yerba mate comÃºn;Del Cebador;Paquete1 kg.;311;63;109,9;159;154,4925891;183;183;17,14253923;9,63;150,482113;0,026651;0,110960269
152;Yogur;Calcar;Sachet 1 lt.;208;42;43;64;61,84485045;69;71;5,518181603;7,03;61,20469918;0,010459;0,08922621
153;Yogur;Conaprole BIO TOP;Sachet1,200 lt.;288;50;55;60;60,52876095;70,5;78;2,568468426;0;66,03787611;-0,083424;0,042433851
154;Yogur;Parmalat Bio Yogur;Sachet 1 lt.;171;39;39;45,9;50,17363572;65;65;8,35027055;15,5;53,74947471;-0,066528;0,166427456
238;Lechuga Crespa;;1 unidad;150;19,9;19,9;31;31,90137389;49,9;51;5,907860171;6;29,82071105;0,069772;0,185191402
239;Lechuga Mantecosa;;1 unidad;146;16;19;35;37,2087226;54;65;7,070283736;10;33,34597483;0,115839;0,190016836
244;Papa Blanca;;1 kg.;190;26,5;30;54,9;54,8834322;78,61;86;10,27615894;7;55,15919831;-0,004999;0,187236084
245;Papa Rosada;;1 kg.;126;28,1;30;44,9;46,48924012;65;72;6,723843211;5;44,90750208;0,035222;0,144632246
253;Tomate Americano;;1 kg.;203;52;57;99;95,7504814;131;137;12,30088286;9,99;89,30152406;0,072216;0,128468105
254;Tomate Perita;;1 kg.;191;55;79,7;109,9;110,4728816;151;175;14,67189965;19,1;114,4776285;-0,034983;0,132809966
255;Banana Ecuador;;1 kg.;207;54;59;99;107,3957631;137,9;139,9;14,05941159;23,9;104,0919527;0,031739;0,130912162
257;Banana Brasil;;1 kg.;175;34;39;69,9;69,23092105;75;82;7,839745532;5,1;64,72746186;0,069576;0,11324052
262;Zapallo CalabacÃ­n;;1 kg.;197;44;47,9;71,9;72,87877887;106;131;10,24331644;10;79,678556;-0,08534;0,1405528
264;Zapallo Criollo;;1 kg.;83;30;30;39,9;44,21471806;76;85;11,88278898;0;44,20536074;0,000212;0,268751889
275;Manzana Fuji;;1 kg.;98;44;44;75,9;75,14729836;89;89;5,124458312;5,1;67,44082633;0,11427;0,068192183
