ï»¿id.presentacion;producto;marca;especificacion;n;min;pmin;median;mean;pmax;max;ee;iqr;ppdm.anterior;var.mens;c.v.
142;Sal fina yodada fluorada;Urusal;Paquete 500 grs.;192;14,9;15,9;37;36,42233419;42;42;6,201047507;7;36,34660004;0,002084;0,170253984
143;TÃ© negro en saquitos;Hornimans;Caja 10 us.;366;24;28;35;36,3651863;42;42;4,189755729;8;35,63298959;0,020548;0,115213372
144;TÃ© negro en saquitos;La Virginia;Caja 10 us.;243;11,9;19,5;28;27,41210334;34,67;62;3,550501817;2;28,00624288;-0,021215;0,129523144
145;TÃ© negro en saquitos;President;Caja 10 us.;361;26;37;49;47,0928062;53,5;62;4,0349588;6,9;47,20820874;-0,002445;0,085681002
146;Vino tinto comÃºn tetrabrick;FaisÃ¡n;Envase 1 lt.;369;75;83,5;95;93,08686348;99,62;105,9;4,702418824;9,5;93,34659185;-0,002782;0,05051646
147;Vino tinto comÃºn tetrabrick;Santa Teresa ClÃ¡sico;Envase 1 lt.;277;77;79;92;92,3944722;106,5;108,9;5,568991785;5;91,04945513;0,014772;0,06027408
148;Vino tinto comÃºn tetrabrick;Tango;Envase 1 lt.;188;49;49;89;88,52683277;103,5;108;9,272124429;3,5;83,91729023;0,05493;0,104738012
149;Yerba mate comÃºn;Baldo;Paquete1 kg.;376;141;152;158;158,8508429;167;171,5;2,128137439;2;158,8184964;0,000204;0,01339708
150;Yerba mate comÃºn;Canarias;Paquete1 kg.;409;148;155;160;164,1531812;199;199;10,87860548;2;165,5076611;-0,008184;0,066271061
151;Yerba mate comÃºn;Del Cebador;Paquete1 kg.;282;63;109,9;157,37;142,7096038;168,5;170,9;19,74405032;40;151,4906565;-0,057964;0,138351238
152;Yogur;Calcar;Sachet 1 lt.;179;42;43;62,9;61,63620245;71;71;4,453594011;5;58,19082218;0,059208;0,072256139
153;Yogur;Conaprole BIO TOP;Sachet1,200 lt.;173;54;57,9;68;66,78457983;72,9;73;3,256698263;3;64,95335272;0,028193;0,048764225
154;Yogur;Parmalat Bio Yogur;Sachet 1 lt.;142;39;39;59;53,72308711;63;65;8,834709014;18,5;52,62705349;0,020826;0,16444902
238;Lechuga Crespa;;1 unidad;147;15,9;15,9;25;26,3087833;42;49;4,67725693;4;27,44008409;-0,041228;0,177783095
239;Lechuga Mantecosa;;1 unidad;143;16;20;26,9;27,9417846;45;49;4,05333888;3,01;30,81755994;-0,093316;0,145063708
244;Papa Blanca;;1 kg.;161;26;27;52,9;54,58251042;76;78;11,35059721;19,1;55,49378483;-0,016421;0,207953008
245;Papa Rosada;;1 kg.;126;27;29;39,9;42,21486034;59,9;64,9;5,33859014;5;46,61295181;-0,094353;0,126462343
253;Tomate Americano;;1 kg.;173;57;57;99,9;96,47991733;142;149;18,57736128;23;86,05280156;0,121171;0,192551588
254;Tomate Perita;;1 kg.;81;79,7;79,7;119;126,6090455;169;169;15,48564001;16;113,4965949;0,115532;0,122310692
255;Banana Ecuador;;1 kg.;181;41;55;99,91;96,39051407;119,9;119,9;17,67695029;24,9;96,68007246;-0,002995;0,183388899
257;Banana Brasil;;1 kg.;148;39,9;39,9;62;60,93556475;71;79;5,602699313;5,1;61,15787992;-0,003635;0,091944652
262;Zapallo CalabacÃ­n;;1 kg.;170;39;39;71,9;72,56168518;105;123;12,32020476;17,9;58,83499697;0,233308;0,169789397
264;Zapallo Criollo;;1 kg.;83;30;30;39,9;44,23299145;76;94,5;11,90718634;0;43,88873239;0,007844;0,269192427
275;Manzana Fuji;;1 kg.;96;44;44;59,9;62,50800431;89;89;6,068827005;2,1;65,18666667;-0,041092;0,097088798
276;Manzana Granny Smith;;1 kg.;98;32;35;65;64,50913931;96;96;9,163559291;0;64,10139835;0,006361;0,142050559
277;Manzana Red Deliciosa;;1 kg.;162;27;39;63,9;62,08324301;82;99;8,939484693;10;60,50517241;0,026082;0,143991909
278;Manzana Red Chieff;;1 kg.;4;39;39;63;58,35772358;74;74;12,10888448;13,5;58,21666667;0,002423;0,20749412
286;Naranja Navel;;1 kg.;73;17;19;20;25,34995243;59;59;8,733642084;9,9;29,9318204;-0,153077;0,344523017
287;Naranja Valencia;;1 kg.;90;17;20;24,9;26,72425876;38;49;3,54633384;3;28,11550802;-0,049483;0,132700924
308;Repelente crema;Off!;200 grs.;387;199;199;264;261,7538317;315;329;30,27540393;14;257,5824072;0,016195;0,115663651
309;Repelente spray;Off!;165 cm3;12;213;213;279;270,5027027;293;293;23,10682728;0;268,225;0,008492;0,085421798
310;Repelente aerosol;Off!;144 cm3;234;239;239;400;371,8513994;415;415;49,22403076;95;355,781446;0,045168;0,132375543
311;Repelente gel;Explorador;175 grs.;3;83;83;83;110,9340659;165;165;39,07764413;82;110,3333333;0,005445;0,352260091
312;Repelente crema;Off!;90 grs.;14;199;199;226;223,5486111;243;243;8,87146932;0;220,8571429;0,012186;0,039684744
313;Repelente crema;JÃºpiter;80 grs.;178;79;79;145;131,8062091;145;145;20,74269898;26;132,7294705;-0,006956;0,1573727
314;Repelente aerosol;JÃºpiter;165 cm3;265;94,9;110;168;154,3866227;191;191;23,41284834;30;152,7588586;0,010656;0,151650758
315;Repelente aerosol;Off!;165 cm3;10;279;279;279;280,4;293;293;4,206790627;0;277,07;0,012019;0,01500282
318;Afeitadora;Gillette;2 unidades;299;229;285;381;382,3163202;427;427;35,07261617;26;385,0308038;-0,00705;0,091737167
319;Afeitadora;Xtreme3;1 unidad;206;37;50;76;76,01489966;95;99;11,14742529;1;75,81216755;0,002674;0,146647898
320;ChampÃº;Dove;400 ml.;408;163;230;276;273,3843276;306,6;324;18,42564221;26;271,0654647;0,008555;0,067398312
321;ChampÃº;Pantene;400 ml.;386;169;249;306;301,5263664;337;344;26,86183864;50;293,8758728;0,026033;0,089086202
322;Crema facial;Revitalift;50 ml.;203;846;846;1278;1214,654699;1353;1361;158,1268325;0;1162,270188;0,045071;0,130182539
323;Crema facial;Asepxia;28 grs.;120;195;222;222;224,73434;242;242;7,006043805;0;224,7647059;-0,000135;0,031174781
324;JabÃ³n de tocador;Neutrogena;80 grs.;161;52;69;116;115,9070656;124;124;8,459494267;0;115,8696245;0,000323;0,072985147
326;PaÃ±ales adultos;Readysec;24 unidades;198;335;374,9;492;491,3557744;565;583;34,36565791;17;487,4718786;0,007967;0,069940478
327;PaÃ±ales ;Babysec;48 unidades;324;525;532;658;650,3453468;711;798;35,33941586;28;616,1107772;0,055566;0,054339461
328;PaÃ±ales ;Huggies;40 unidades;175;353;383;383;389,950134;421,93;453;10,40727175;13;389,9445359;1,40E-05;0,026688725
331;Colonia + Talco;Bebe & Co ;120 ml.;235;254;344;439;436,5666765;485;485;22,68807595;3;436,712208;-0,000333;0,051969326
332;Toallitas femeninas;Ladysoft;16 unidades;238;31;33,9;40,5;42,27673423;59;62;5,945150836;7;42,46779005;-0,004499;0,140624647
333;Toallitas femeninas;Siempre Libre;8 unidades;339;69,9;79,9;96;96,53655552;122,5;145,5;8,597039951;4;97,21506096;-0,006979;0,089054762
335;Talco;Xanapie;180 grs.;189;35;35;81;73,68048558;85;129;13,48328162;10;73,44268995;0,003238;0,182996644
336;Talco;Xanapie;175 ml.;316;99;106;153;151,0853517;169;203,5;14,87752545;23,5;149,8978337;0,007922;0,098470999
337;Talco;J&J;200 grs.;330;169;206,5;277;285,997645;355;364;28,04652109;22;288,2489956;-0,00781;0,098065567
338;JabÃ³n de tocador;Dove;90 grs.;423;35;39;50;49,95032648;55;55;3,516321722;5;49,95187711;-3,10E-05;0,070396371
339;JabÃ³n de glicerina;Ann Bow;140 grs. ;244;25;30;35,5;42,77240335;69;69,9;13,32259507;26;42,16782151;0,014338;0,31147642
340;Perfume;DÃ©lice;50 ml.;257;229;229;387;369,8284453;425;435;49,85518967;2;369,1064036;0,001956;0,13480626
341;Perfume;Casapueblo;100 ml.;257;199;199;391;357,7117826;475;475;78,03872296;84;350,1326341;0,021647;0,218160896
342;Tinta ;Excellence;1 unidad;282;245;369;452;443,920603;486;513;30,77904856;21;415,2926675;0,068934;0,06933458
343;Tinta ;Issue;1 unidad;122;88;89;129;133,4737135;160;160;13,01677213;0;133,5052453;-0,000236;0,097523114
344;Tinta ;Garnier;1 unidad;335;149;159;203;197,219345;224,5;263;13,86275923;12;185,5982078;0,062614;0,070291072
