ï»¿id.presentacion;producto;marca;especificacion;n;canasta;min;pmin;median;mean;pmax;max;ee;iqr;ppdm.anterior;var.mens;c.v.
139;Rueda Vacuna;Con Hueso - Sin Marca;1 kg;65;0;159;159;249;248,9453808;292;299;21,66343195;9,5;247,7815199;0,004697;0,087020823
140;Sal fina yodada fluorada;Sek;Paquete 500 grs.;187;0;21;22,9;40;38,50293977;46;55;4,372351391;5,26;38,26194192;0,006299;0,113558897
141;Sal fina yodada fluorada;Torrevieja;Paquete 500 grs.;54;0;14;14;34,5;32,9806213;38,5;38,5;4,212509329;0;33,21584634;-0,007082;0,127726803
142;Sal fina yodada fluorada;Urusal;Paquete 500 grs.;195;0;14,9;15,9;37;34,66278979;40;42;5,532637395;5;35,48970711;-0,0233;0,159613159
143;TÃ© negro en saquitos;Hornimans;Caja 10 us.;274;2;20;25,9;33;32,06033036;39,31;39,31;2,67879567;4;32,22820939;-0,005209;0,083554837
144;TÃ© negro en saquitos;La Virginia;Caja 10 us.;197;0;11;15;27;26,89149991;33,33;34,75;2,743810608;2;26,73627715;0,005806;0,102032635
145;TÃ© negro en saquitos;President;Caja 10 us.;213;0;25;29;43;43,11233932;51;52;3,255384374;3;43,01871791;0,002176;0,075509342
146;Vino tinto comÃºn tetrabrick;FaisÃ¡n;Envase 1 lt.;273;0;75;79;95;94,84986481;99,62;105,9;3,719175387;2;94,49195434;0,003788;0,039211183
147;Vino tinto comÃºn tetrabrick;Santa Teresa ClÃ¡sico;Envase 1 lt.;277;2;79;79;92;91,25679887;103,5;105,5;4,246556228;2;90,00164128;0,013946;0,046534135
148;Vino tinto comÃºn tetrabrick;Tango;Envase 1 lt.;241;0;49;49;85;85,06811525;93,07;108;7,229447671;4;85,83284688;-0,00891;0,084984223
149;Yerba mate comÃºn;Baldo;Paquete1 kg.;284;0;141;142;152;151,9730437;157;164,5;2,244071918;0,1;151,9403271;0,000215;0,01476625
150;Yerba mate comÃºn;Canarias;Paquete1 kg.;317;2;148;153,9;154;161,4091288;212,5;212,5;18,48296787;2,9;160,3182308;0,006805;0,114510053
151;Yerba mate comÃºn;Del Cebador;Paquete1 kg.;229;0;63;104,9;151;141,9039854;159,9;175;15,93598581;22;141,513893;0,002757;0,112301186
152;Yogur;Calcar;Sachet 1 lt.;181;0;42;43;59;57,39378947;71;71;6,927447682;9;60,84023346;-0,056647;0,120700301
153;Yogur;Conaprole BIO TOP;Sachet1,200 lt.;219;0;54;54,9;61;61,19729787;69;74;2,101403705;0;60,71041425;0,00802;0,034338178
154;Yogur;Parmalat Bio Yogur;Sachet 1 lt.;84;0;39;39;43,5;46,12933685;62;62;5,740727998;3,4;45,87742947;0,005491;0,124448526
238;Lechuga Crespa;;1 unidad;137;0;19;24;39,9;37,80244738;49,9;63;5,819247881;5;45,98601195;-0,177958;0,15393839
239;Lechuga Mantecosa;;1 unidad;133;0;20;22;44,9;41,56125878;54,9;54,9;7,118058202;5;49,63388807;-0,162644;0,171266665
244;Papa Blanca;;1 kg.;160;0;26,5;30;59,9;60,65029313;79;79;9,883376255;5,1;60,16946917;0,007991;0,162956776
245;Papa Rosada;;1 kg.;125;0;23;34;49,9;50,85409616;75;77;7,925192676;0;51,83945903;-0,019008;0,155841776
253;Tomate Americano;;1 kg.;121;0;49;57;99,9;97,08058075;149;163;15,59107216;10;101,1007385;-0,039764;0,160599288
254;Tomate Perita;;1 kg.;161;0;40;79,7;99,9;108,0182927;145;152;17,32081875;22,1;107,7668168;0,002334;0,160350792
255;Banana Ecuador;;1 kg.;180;0;41;53;89,91;86,07113095;108,9;109,9;15,15411374;20,9;87,05414832;-0,011292;0,176065001
257;Banana Brasil;;1 kg.;99;0;39;39,9;54,9;53,54381793;77,28;79;5,533094682;0;53,24354732;0,00564;0,103337694
262;Zapallo CalabacÃ­n;;1 kg.;170;0;19;23;39;36,24497438;64,9;64,9;6,860035143;12;35,78841662;0,012757;0,189268589
264;Zapallo Criollo;;1 kg.;73;0;30;30;39,9;39,41380256;48;62,1;3,00279257;0;39,28281627;0,003334;0,07618632
275;Manzana Fuji;;1 kg.;94;0;41;44;69,9;73,83333333;89;89;10,71782896;15,1;104,8894009;-0,296084;0,145162469
276;Manzana Granny Smith;;1 kg.;90;0;45;49;69;70,98739716;96;98;7,025462303;3;74,11094285;-0,042147;0,098967741
277;Manzana Red Deliciosa;;1 kg.;158;0;27;45;65;64,40484656;82;96;6,39361284;6;87,79934115;-0,266454;0,099272232
278;Manzana Red Chieff;;1 kg.;4;0;30;30;50;52,54166667;74;74;14,61258571;16;54,28225806;-0,032066;0,27811424
286;Naranja Navel;;1 kg.;73;0;21,4;31;43,9;45,52671233;59;59;9,144925234;20;48,50678814;-0,061436;0,200869441
287;Naranja Valencia;;1 kg.;89;0;20;20;42,9;39,54780362;48;62;5,949934545;8;36,31082062;0,089147;0,150449178
308;Repelente crema;Off!;200 grs.;297;0;199;199;260;253,7678311;315;332;32,54577392;23,81;266,0594162;-0,046199;0,128250195
309;Repelente spray;Off!;165 cm3;12;0;209;209;268;259,25;281;281;22,78441411;0;258,6789773;0,002207;0,087885879
310;Repelente aerosol;Off!;144 cm3;184;0;239;239;316;322,8183537;392;392;44,39745244;38;331,2190611;-0,025363;0,137530757
312;Repelente crema;Off!;90 grs.;14;0;199;199;202;204,2142857;215;215;4,951004403;0;204,2956298;-0,000398;0,024244163
313;Repelente crema;JÃºpiter;80 grs.;82;0;79;79;115;115,3481764;141;141;23,27480358;46;115,3600575;-0,000103;0,201778687
314;Repelente aerosol;JÃºpiter;165 cm3;155;0;94,9;110;133;145,8470935;191;191;25,08357392;13;145,0796468;0,00529;0,171985422
315;Repelente aerosol;Off!;165 cm3;10;0;268;268;268;269,3;281;281;3,906516295;0;269,3;0;0,014506188
