id.presentacion;producto;marca;especificacion;n;min;pmin;median;mean;pmax;max;ee;iqr;ppdm.anterior;var.mens;c.v.
1;Aceite de girasol;Óptimo;Envase 900 cc;393;114;119;135;133,644752;148;160;6,377482385;7;134,4578407;-0,006047;0,047719662
2;Aceite de girasol;Río de la Plata;Envase 900 cc;383;115;120;159;156,0610373;173;177;12,57138649;16;156,8235903;-0,004862;0,080554293
3;Aceite de girasol;Uruguay;Envase 900 cc;185;99;103,5;118;120,3762858;148;148;9,904743551;14,1;119,8234565;0,004614;0,082281518
4;Aceite de maíz;Delicia;Envase 900 cc;363;109;117;147;145,5084164;164;167;8,689631293;11;147,0471659;-0,010464;0,059719097
5;Aceite de maíz;Río de la Plata;Envase 900 cc;396;113,4;139;159;153,9655161;172;175;9,515196867;15,1;151,4809813;0,016402;0,061800831
7;Aceite de soja;Condesa;Envase 900 cc;352;75;79;96;95,80718029;113;115;6,574113323;10;96,01999179;-0,002216;0,068618169
8;Aceite de soja;Río de la Plata;Envase 900 cc;388;76;79;103;104,3233373;130;131;15,16326163;13;104,1674249;0,001497;0,145348702
9;Aceite de soja;Salad;Envase 900 cc;102;78;79;106;102,1307484;106;106;7,845106137;0;103,669246;-0,01484;0,076814341
10;Agua de mesa con gas;Matutina;Envase 2 lt.;185;38;42;50;50,60855777;57;62;2,560916907;2;50,64939405;-0,000806;0,050602448
11;Agua de mesa con gas;Nativa;Envase 2 lt.;250;46;50;64;63,63541687;68;70;2,508989949;1;63,29003333;0,005457;0,039427572
12;Agua de mesa con gas;Salus;Envase 2,25 lt.;497;53;58;66;67,04683925;71;81;3,042033605;4;67,02524718;0,000322;0,045371768
13;Aguja vacuna;Con Hueso - Sin Marca;1 kg.;220;239;249;319;313,4780655;399;450;42,30124029;76;353,8651488;-0,114131;0,134941627
14;Aguja vacuna;Sin Hueso - Sin Marca;1 kg.;215;249;249;375;329,6470225;458;469;60,26574596;120;350,1090286;-0,058445;0,182819021
15;Arroz blanco;Blue Patna;Bolsa 1 kg.;356;46,9;48;65;63,98474945;78;78;6,223590667;8;63,84285356;0,002223;0,097266782
16;Arroz blanco;Green Chef;Bolsa 1 kg.;352;42;45;55;56,0183695;76;76;6,479705313;4;56,2497476;-0,004113;0,11567108
17;Arroz blanco;Saman Blanco;Bolsa 1 kg.;416;45,9;48;62;61,63282953;69;70;5,710369167;5;61,94930012;-0,005109;0,09265142
18;Arroz blanco;Aruba tipo Patna;Bolsa 1 kg.;246;29;29;38,05;38,75065526;54;54;4,306473036;4;39,46948267;-0,018212;0,111132909
19;Arroz blanco;Pony;Bolsa 1 kg.;41;31;31;39;40,58536585;59;59;5,986589891;4;40,58536585;0;0,147506121
20;Arroz blanco;Vidarroz;Bolsa 1 kg.;171;29;32;44;40,42745098;44;48;4,500782602;10;40,40588235;0,000534;0,111329864
22;Arvejas en conserva;Cololó;Lata 380 grs.;324;24;31;49;45,78236034;58,11;59,58;6,521882059;7;45,91300251;-0,002845;0,142454037
23;Arvejas en conserva;Nidemar;Lata 300 grs.;144;20;20;30;29,21707661;32;32;2,616683155;0;29,31224537;-0,003247;0,089560061
24;Azúcar blanco;Azucarlito;Paquete 1 kg.;295;44,9;47;53;53,48612025;61;65;2,871178349;4;53,41406926;0,001349;0,053680812
25;Azúcar blanco;Bella Unión;Paquete 1 kg.;354;41;48;55;54,5323827;57;69;2,034566355;1;54,30653678;0,004159;0,037309324
26;Café envasado (no instantáneo);Águila;Paquete 250 grs.;416;187;210;255;250,9111138;275;301;12,26256397;12,1;245,4597154;0,022209;0,048872144
27;Café envasado (no instantáneo);Chaná;Paquete 250 grs.;418;215;250;289;289,0498268;315;356;13,10592927;6;281,9386644;0,025222;0,045341419
28;Café envasado (no instantáneo);Saint;Paquete 250 grs.;157;125;125;199;193,381458;239;253;21,38447859;14,1;190,4477997;0,015404;0,110581846
29;Carne picada vacuna;Con Hasta 5% de grasa;1 kg.;225;299;299;389;366,3110161;460;499;51,89549378;102;382,3283494;-0,041894;0,141670579
30;Carne picada vacuna;Con Hasta 20% de grasa;1 kg.;218;225;229;329;321,4179829;389;409;34,76985154;60;345,0910462;-0,068599;0,108176435
31;Cerveza;Patricia;Botella 960 ml.;415;106;119;150;148,904493;159;171;6,684419693;0;146,1899863;0,018568;0,044890651
32;Cerveza;Pilsen;Botella 960 ml.;278;110;119;136;131,941245;148;150;6,277822988;6,1;132,1935988;-0,001909;0,047580444
33;Cerveza;Zillertal;Botella 1 lt.;386;133;144;170;169,3298457;185;194;6,880339691;1;164,2952941;0,030643;0,040632764
34;Champú;Fructis;Envase 350 ml.;506;185;229,9;325;316,7521617;363;363;24,69291246;33;315,8105787;0,002981;0,077956571
35;Champú;Sedal;Envase 350 ml.;279;118;122;199,9;182,8586468;239;255;44,2432867;94;183,1499398;-0,00159;0,241953484
36;Champú;Suave;Envase 930 ml.;283;143;166,9;235;229,2825199;259,9;265;19,04060394;14;229,0348448;0,001081;0,083044289
37;Chorizos mezcla;sueltos - Cattivelli  - Extra;1 kg.;226;409;425;540;528,2728481;582;599;32,99188339;20;494,7819861;0,067688;0,062452355
38;Chorizos mezcla;sueltos - Centenario - Extra;1 kg.;208;351;359;479,01;481,7870267;549;559;49,39415102;80;500,8118291;-0,037988;0,102522792
39;Chorizos mezcla;sueltos - La Familia - Hilo amarillo;1 kg.;183;290;290;349;352,7776503;390;390;24,05010374;43,59;352,7776503;0;0,068173547
40;Cocoa;Copacabana;Envase 500 grs.;416;152;159,9;204;203,9224862;236,61;276;14,78951361;14;199,049758;0,02448;0,072525173
41;Cocoa;Vascolet;Envase 500 grs.;362;139;146;193;189,9455106;228;251;18,27742757;23;186,5081207;0,01843;0,096224583
42;Desodorante en aerosol;Axe Musk;Envase 113 grs.;590;119;139;169,9;166,2661634;195;195;14,08485417;25;168,3086437;-0,012135;0,084712691
43;Desodorante en aerosol;Dove Original;Envase 100 grs.;365;147;149;204;199,5534912;228;239;17,87952393;20;202,5416;-0,014753;0,08959765
44;Desodorante en aerosol;Rexona Active Emotion;Envase 105 grs.;311;115;115;188;179,1131788;201;225;18,61261337;27;184,8879653;-0,031234;0,103915376
45;Detergente para vajilla;Deterjane limón;Envase 1.250 lt.;364;82;83,43;115;108,7052597;133;139;13,70234265;29;108,211044;0,004567;0,126050411
46;Detergente para vajilla;Hurra Nevex Limón;Envase 1.250 lt.;545;89;95;124;121,1341924;150,99;150,99;10,90131668;11;120,5826553;0,004574;0,089993721
47;Detergente para vajilla;Protergente limón;Envase 1 lt.;345;49;49;63;61,19884463;70;70;4,649716643;4;62,71006466;-0,024099;0,075977196
48;Dulce de leche;Conaprole;Envase 1 kg.;389;180;200;229;230,7045951;260;264;11,77321506;9;226,5969845;0,018127;0,051031559
49;Dulce de leche;Los Nietitos;Envase 1 kg.;416;134,9;134,9;188;186,0557488;210;225;18,2961692;13;183,8327487;0,012093;0,098337027
50;Dulce de leche;Manjar;Envase 1 kg.;419;130;154;179;179,4565036;209;230;10,86456853;3;177,7553361;0,00957;0,060541515
51;Dulce de membrillo;Los Nietitos;Envase 400 grs.;370;55;59;69;68,60144132;79;85;4,054958441;6;68,71212144;-0,001611;0,059108939
52;Fideos secos al huevo;Adria;Paquete 500 grs.;343;69,9;74,9;91;90,213135;99;99;4,228211427;5;89,59505293;0,006899;0,046869133
53;Fideos secos al huevo;Cololó;Paquete 500 grs.;331;59;64;78;76,7687334;85;89;3,430685293;2;75,23435983;0,020395;0,044688575
54;Fideos secos al huevo;Las Acacias;Paquete 500 grs.;390;53;53;67;67,61463823;84;84;6,66581215;4;68,12501073;-0,007492;0,098585341
56;Fideos secos semolados;Las Acacias - franja celeste;Paquete 500 grs.;233;44;46,9;58;57,83897849;65;66,5;3,905362554;4;57,76800624;0,001229;0,067521292
58;Frankfurters cortos;Centenario;Paquete 8 us.;264;112;116;168;165,132197;239;263;20,53953048;18;165,132197;0;0,124382349
59;Frankfurters cortos;Ottonello;Paquete 8 us.;338;119;129;169;168,7748434;190;193;12,49208453;14;172,0231783;-0,018883;0,074016271
60;Frankfurters cortos;Schneck;Paquete 8 us.;351;150;185;219;221,6798756;245;263;13,16300159;16;222,5357693;-0,003846;0,059378424
61;Galletitas al agua;Famosa;Paquete 140 grs.;483;42;49;56;56,59365591;60;65;3,010267376;5;56,62091427;-0,000481;0,053190898
62;Galletitas al agua;Maestro Cubano;Paquete 120 grs.;110;36;38;40;40,26605505;45,2;46;1,346210264;2;40,26605505;0;0,033432882
63;Gaseosa tipo cola (env. no ret.);Coca Cola;Botella 1,5 lt.;528;99;106;125;127,4241444;138;139;7,121527841;12;125,9377886;0,011802;0,055888371
64;Gaseosa tipo cola (env. no ret.);Coca Cola_;Botella 2,25.lt.;440;121;129;154,01;159,1461878;172;184;10,23354135;18;157,4894248;0,01052;0,064302774
66;Gaseosa tipo cola (env. no ret.);Pepsi;Botella 2 lt.;325;109;119;148;142,4438982;159;164;10,52726947;19;140,1242767;0,016554;0,073904671
67;Gaseosa tipo cola (env. no ret.);Pepsi;Botella 1,5 lt.;326;99;104;109;110,3719014;125;130;6,384293359;4,01;107,2202977;0,029394;0,057843466
68;Hamburguesas carne vacun;Burgy;Paquete 3 unidades;262;30;31;37;36,92756681;45;48;3,18773051;5;37,10207563;-0,004703;0,086323871
69;Hamburguesas carne vacun;Paty;Paquete2 unidades;122;42,9;42,9;55;55,17815126;77;77;6,887540553;10,1;55,17254902;0,000102;0,124823692
70;Hamburguesas carne vacun;Schneck;Paquete2 unidades;405;60;69;80;80,29363332;95;99;7,515993272;13;81,9506415;-0,02022;0,093606342
71;Harina de maíz;Gourmet;Paquete 450 grs.;78;25;25;28;29,62807692;45;45;2,879485103;3;29,65181861;-0,000801;0,097187715
72;Harina de maíz;Presto Pronta Arcor;Paquete 500 grs.;318;33,9;36,9;51;49,40040154;55;57;4,140445866;1;49,16152427;0,004859;0,083814012
73;Harina de maíz;Puritas;Paquete 450 grs.;364;29;29;42;39,82259014;44;46;3,994426625;5;39,06424242;0,019413;0,100305545
74;Harina trigo común 000;Cañuelas;Paquete 1 kg.;438;39;41;53;52,89260119;64;73;7,54568107;8,975;53,69601533;-0,014962;0,142660427
75;Harina trigo común 000;Cololó;Paquete 1 kg.;114;42;42;59;59,11215135;71;71;5,038529211;7;60,30989474;-0,01986;0,085236776
76;Harina trigo común 0000;Cañuelas;Paquete 1 kg.;516;45;45;64,9;63,34915489;72;76;6,174206323;4;63,86484387;-0,008075;0,097463121
